event_date,company_name,region_macro,country,segment,signal_type,numeric_value,numeric_unit,direction,description,source_name,source_url,notes
2020-03-15,Covestro,EMEA,Germany,raw_materials,capacity,0,,decrease,Temporary reduction of MDI production at Brunsbüttel due to demand shock and logistics constraints.,company release,,COVID-related curtailment
2020-06-01,Wanhua Chemical,APAC,China,raw_materials,capacity,400000,TPA,increase,Ningbo MDI expansion completed; new line added 400 ktpa MDI nameplate capacity.,company release,, 
2020-08-01,BASF,EMEA,Belgium,raw_materials,capacity,0,,neutral,Antwerp TDI facility operated at reduced rates; no permanent capacity change.,company release,, 
2021-01-01,EU Commission,EMEA,,raw_materials,regulation,,,,neutral,EU restriction on diisocyanates (monomer content) entered into force; training and labelling required for industrial use.,ECHA/Official Journal,, 
2021-03-01,Huntsman,Americas,USA,raw_materials,capacity,0,,increase,Geismar MDI debottleneck completed; incremental capacity gain.,company release,, 
2021-05-01,Wanhua Chemical,APAC,China,raw_materials,capacity,250000,TPA,increase,Fujian new MDI plant announced; 250 ktpa planned.,company release,, 
2021-06-15,Dow,Americas,USA,flexible_foam,capacity,0,,increase,Polyurethane systems capacity expansion in Texas for flexible foam applications.,company release,, 
2021-09-01,Covestro,EMEA,Germany,raw_materials,technology,,,,neutral,Commissioning of new chlorine production at Tarragona; structural supply for TDI/MDI precursors.,company release,, 
2022-01-01,BASF,APAC,China,raw_materials,capacity,0,,increase,Chongqing MDI facility expansion project completed; capacity increase.,company release,, 
2022-02-01,Sadara,EMEA,Saudi Arabia,raw_materials,capacity,0,,increase,Jubail mixed-feed cracker and downstream PU capacity ramp-up continued.,company release,, 
2022-03-01,Covestro,EMEA,Spain,raw_materials,capacity,0,,increase,Tarragona TDI capacity expansion completed.,company release,, 
2022-05-01,LyondellBasell,Americas,USA,raw_materials,capacity,0,,increase,POLYVANTIS PO/MTBE joint venture PO capacity online; structural PO supply for polyether polyols.,company release,, 
2022-06-01,Wanhua Chemical,APAC,China,raw_materials,capacity,0,,increase,Ningbo phase III MDI expansion brought on stream.,company release,, 
2022-08-01,BASF,EMEA,Germany,raw_materials,capacity,0,,decrease,Reduced operating rates at Ludwigshafen and Antwerp amid energy crisis; no permanent closure.,company release,,Energy crisis 2022
2022-09-01,Covestro,EMEA,Germany,raw_materials,capacity,0,,decrease,Brunsbüttel MDI production curtailed due to gas supply and cost; temporary.,company release,, 
2022-10-01,Huntsman,Americas,USA,raw_materials,mna,,,USD,neutral,Huntsman completed sale of Textile Effects division; focus on PU and downstream.,company release,, 
2023-02-01,EU Commission,EMEA,,raw_materials,regulation,,,,neutral,REACH restriction on diisocyanates (consumer/DIY) fully applicable; durable compliance impact on formulations.,ECHA,, 
2023-03-01,Wanhua Chemical,APAC,China,raw_materials,capacity,0,,increase,Yantai MDI plant expansion phase completed.,company release,, 
2023-04-01,BASF,APAC,China,raw_materials,capacity,0,,increase,Zhanjiang integrated site progress; MDI and downstream included in phased plan.,company release,, 
2023-05-01,Covestro,EMEA,Germany,raw_materials,technology,,,,neutral,Investment in new production process for aniline (MDI precursor) at Brunsbüttel.,company release,, 
2023-06-01,Dow,Americas,USA,rigid_foam,capacity,0,,increase,Rigid foam systems capacity expansion in Americas for insulation.,company release,, 
2023-07-01,Lanxess,EMEA,Germany,raw_materials,mna,,,EUR,neutral,Lanxess agreed to sell Urethane Systems to HIG Capital; structural change in CASE supply.,company release,, 
2023-08-01,Sadara,EMEA,Saudi Arabia,raw_materials,capacity,0,,increase,Additional polyether polyol and MDI downstream capacity at Jubail.,company release,, 
2023-09-01,Covestro,EMEA,,raw_materials,mna,,,USD,neutral,Covestro received takeover approach from ADNOC; discussions ongoing.,company release,, 
2024-01-01,EU Commission,EMEA,,raw_materials,regulation,,,,neutral,EU Carbon Border Adjustment Mechanism (CBAM) reporting phase for chemicals including isocyanates.,ECHA/OJ,, 
2024-02-01,Wanhua Chemical,APAC,China,raw_materials,capacity,0,,increase,New MDI line at Fujian site commissioned.,company release,, 
2024-03-01,BASF,EMEA,Belgium,raw_materials,capacity,0,,increase,Antwerp MDI expansion project completed; incremental nameplate increase.,company release,, 
2024-04-01,Covestro,Americas,Mexico,rigid_foam,capacity,0,,increase,Altamira systems house capacity expansion for rigid foam.,company release,, 
2024-05-01,Huntsman,Americas,USA,case,capacity,0,,increase,CASE capacity expansion in North America.,company release,, 
2024-06-01,Dow,Americas,USA,raw_materials,investment,,,USD,neutral,Commitment to expand PO and polyether capacity in Americas.,company release,, 
2024-07-01,BASF,APAC,China,raw_materials,capacity,0,,increase,Zhanjiang MDI project phase one commissioning.,company release,, 
2024-08-01,Covestro,EMEA,Germany,raw_materials,technology,,,,neutral,Brunsbüttel pilot for CO2-based raw materials for polyols; structural R&D path.,company release,, 
2024-09-01,Wanhua Chemical,APAC,China,tpu,capacity,0,,increase,TPU capacity expansion in China.,company release,, 
2020-11-01,Dow,Americas,USA,raw_materials,capacity,0,,decrease,Idling of small PU assets in Brazil; structural exit from site.,company release,, 
2021-11-01,Huntsman,EMEA,Netherlands,raw_materials,capacity,0,,increase,Rotterdam MDI debottleneck completed.,company release,, 
2022-11-01,BASF,Americas,USA,case,capacity,0,,increase,CASE capacity addition in North America.,company release,, 
2023-11-01,Covestro,APAC,China,flexible_foam,capacity,0,,increase,Shanghai systems house capacity expansion.,company release,, 
2024-10-01,Repsol,EMEA,Spain,raw_materials,capacity,0,,increase,Tarragona polyols expansion for PU feedstock.,company release,, 
2021-07-01,Kumho Petrochemical,APAC,South Korea,raw_materials,capacity,0,,increase,MDI capacity expansion in Yeosu.,company release,, 
2022-04-01,Tosoh,APAC,Japan,raw_materials,capacity,0,,increase,Nanyo complex polyether polyol capacity increase.,company release,, 
2023-10-01,Evonik,EMEA,Germany,raw_materials,technology,,,,neutral,Commissioning of new isocyanate production technology pilot.,company release,, 
2020-09-01,Arkema,Americas,USA,tpu,capacity,0,,increase,TPU capacity expansion in Americas.,company release,, 
2024-11-01,Lubrizol,Americas,USA,tpu,capacity,0,,increase,TPU capacity expansion at existing site.,company release,,
2021-04-01,Recticel,EMEA,Belgium,flexible_foam,mna,,,EUR,neutral,Recticel divested bedding division; structural refocus on technical foam.,company release,,
2021-08-01,Vita Group,EMEA,United Kingdom,flexible_foam,capacity,0,,increase,Polyurethane foam capacity addition in Europe.,company release,,
2022-03-15,Dow,Americas,USA,rigid_foam,technology,,,,neutral,Investment in next-gen blowing agents for rigid foam; structural shift to lower-GWP solutions.,company release,,
2022-06-01,Chinese authorities,APAC,China,raw_materials,regulation,,,,neutral,Environmental compliance requirements for PU production; multi-year impact on producers.,industry report,,
2022-07-01,Carpenter Co,Americas,USA,flexible_foam,mna,,,USD,neutral,Acquisition of foam converter; regional consolidation in Americas.,company release,,
2022-08-01,Covestro,EMEA,Germany,tpu,capacity,0,,increase,TPU capacity expansion in Europe.,company release,,
2023-01-01,US EPA,Americas,USA,raw_materials,regulation,,,,neutral,Isocyanate exposure and reporting requirements; durable compliance impact.,regulatory notice,,
2023-01-15,BASF,EMEA,Germany,case,mna,,,EUR,neutral,BASF acquired specialty coatings and CASE assets; structural expansion.,company release,,
2023-06-15,Wanhua Chemical,APAC,China,tpu,technology,,,,neutral,New TPU product line for sustainable applications; structural portfolio shift.,company release,,
2023-09-15,Recticel,EMEA,Belgium,rigid_foam,capacity,0,,increase,Rigid foam insulation capacity expansion in Europe.,company release,,
2020-10-01,FXI,Americas,USA,flexible_foam,capacity,0,,increase,Flexible foam capacity expansion in North America.,company release,,
2022-11-15,Huntsman,Americas,USA,flexible_foam,capacity,0,,increase,MDI-based flexible foam systems capacity addition in Americas.,company release,,
2023-04-15,Helios,EMEA,Slovenia,case,mna,,,EUR,neutral,Acquisition of coatings business; CASE segment consolidation in EMEA.,company release,,
2024-03-15,Lubrizol,Americas,USA,tpu,mna,,,USD,neutral,TPU business expansion via acquisition; structural repositioning.,company release,,
2024-05-15,Covestro,APAC,China,flexible_foam,capacity,0,,increase,Flexible foam systems capacity expansion in Asia.,company release,,
2022-01-15,UK HSE,EMEA,United Kingdom,raw_materials,regulation,,,,neutral,UK post-Brexit isocyanate classification and labelling; durable compliance impact.,regulatory notice,,
